trip_id,orig_lat,orig_lon,dest_lat,dest_lon,route,distance,num_trips
17587.0,-23.576928342190097,-46.56278178677811,-23.58455187069992,-46.58311483670995,"[[-46.562573, -23.576955, 783.15], [-46.562547, -23.576786, 786.1], [-46.559741, -23.576617, 779.92], [-46.559958, -23.578305, 769.76], [-46.560349, -23.578268, 768.39], [-46.560496, -23.578272, 769.02], [-46.561923, -23.578434, 770.72], [-46.562311, -23.58123, 754.01], [-46.56258, -23.581291, 754.63], [-46.562335, -23.582157, 747.61], [-46.562713, -23.582244, 748.02], [-46.562681, -23.582351, 747.75], [-46.562805, -23.582377, 748.03], [-46.564203, -23.582535, 749.67], [-46.566907, -23.582809, 746.62], [-46.568666, -23.582912, 746.01], [-46.570509, -23.582889, 743.29], [-46.571253, -23.582826, 743.69], [-46.572509, -23.582794, 745.13], [-46.57321, -23.582835, 745.93], [-46.573521, -23.582881, 746.29], [-46.574009, -23.582991, 746.86], [-46.574265, -23.583069, 747.17], [-46.574775, -23.583283, 745.68], [-46.576544, -23.584102, 742.06], [-46.576938, -23.584226, 742.61], [-46.577197, -23.58428, 742.7], [-46.579743, -23.584692, 740.75], [-46.579711, -23.584561, 741.08], [-46.581288, -23.584797, 743.88], [-46.581688, -23.584842, 743.72], [-46.581887, -23.584841, 744.71], [-46.582092, -23.584818, 744.99], [-46.582612, -23.584639, 747.32], [-46.583071, -23.58446, 747.79]]",3.33859,188.609167
17671.0,-23.57665518226324,-46.56030958259724,-23.58455187069992,-46.58311483670995,"[[-46.56031, -23.576651, 783.01], [-46.559741, -23.576617, 779.92], [-46.559958, -23.578305, 769.76], [-46.560349, -23.578268, 768.39], [-46.560496, -23.578272, 769.02], [-46.561923, -23.578434, 770.72], [-46.562311, -23.58123, 754.01], [-46.56258, -23.581291, 754.63], [-46.562335, -23.582157, 747.61], [-46.562713, -23.582244, 748.02], [-46.562681, -23.582351, 747.75], [-46.562805, -23.582377, 748.03], [-46.564203, -23.582535, 749.67], [-46.566907, -23.582809, 746.62], [-46.568666, -23.582912, 746.01], [-46.570509, -23.582889, 743.29], [-46.571253, -23.582826, 743.69], [-46.572509, -23.582794, 745.13], [-46.57321, -23.582835, 745.93], [-46.573521, -23.582881, 746.29], [-46.574009, -23.582991, 746.86], [-46.574265, -23.583069, 747.17], [-46.574775, -23.583283, 745.68], [-46.576544, -23.584102, 742.06], [-46.576938, -23.584226, 742.61], [-46.577197, -23.58428, 742.7], [-46.579743, -23.584692, 740.75], [-46.579711, -23.584561, 741.08], [-46.581288, -23.584797, 743.88], [-46.581688, -23.584842, 743.72], [-46.581887, -23.584841, 744.71], [-46.582092, -23.584818, 744.99], [-46.582612, -23.584639, 747.32], [-46.583071, -23.58446, 747.79]]",3.090952,404.266659
17672.0,-23.58455187069992,-46.58311483670995,-23.57665518226324,-46.56030958259724,"[[-46.583071, -23.58446, 747.79], [-46.583917, -23.584133, 745.85], [-46.583974, -23.583979, 746.8], [-46.583961, -23.583897, 747.57], [-46.581949, -23.583805, 757.52], [-46.575791, -23.581093, 761.41], [-46.572379, -23.579534, 754.56], [-46.572335, -23.579533, 754.37], [-46.572073, -23.57964, 752.96], [-46.572031, -23.579455, 753.19], [-46.571848, -23.579263, 753.3], [-46.571678, -23.57901, 754.11], [-46.570452, -23.57929, 754.68], [-46.568671, -23.577785, 767.07], [-46.568192, -23.578145, 765.39], [-46.567445, -23.578528, 768.5], [-46.566877, -23.578762, 771.93], [-46.565998, -23.579079, 771.07], [-46.565441, -23.579299, 770.9], [-46.565374, -23.579155, 771.27], [-46.565025, -23.579281, 770.45], [-46.564894, -23.578937, 772.74], [-46.563966, -23.578825, 769.76], [-46.564015, -23.579165, 767.45], [-46.56292, -23.579322, 769.26], [-46.562547, -23.576786, 786.1], [-46.56031, -23.576651, 783.01]]",3.1329119999999997,404.266659
64208.0,-23.582719048060365,-46.56256621538373,-23.58455187069992,-46.58311483670995,"[[-46.562558, -23.582789, 747.98], [-46.56271, -23.582803, 747.73], [-46.562868, -23.582839, 747.57], [-46.563, -23.582908, 748.07], [-46.563758, -23.583789, 748.33], [-46.564004, -23.58419, 748.44], [-46.564471, -23.584723, 748.19], [-46.564896, -23.583837, 748.21], [-46.565, -23.583585, 748.03], [-46.565491, -23.583734, 747.15], [-46.565821, -23.582868, 746.45], [-46.565902, -23.582712, 747.25], [-46.566907, -23.582809, 746.62], [-46.568666, -23.582912, 746.01], [-46.570509, -23.582889, 743.29], [-46.571253, -23.582826, 743.69], [-46.572509, -23.582794, 745.13], [-46.57321, -23.582835, 745.93], [-46.573521, -23.582881, 746.29], [-46.574009, -23.582991, 746.86], [-46.574265, -23.583069, 747.17], [-46.574775, -23.583283, 745.68], [-46.576544, -23.584102, 742.06], [-46.576938, -23.584226, 742.61], [-46.577197, -23.58428, 742.7], [-46.579743, -23.584692, 740.75], [-46.579711, -23.584561, 741.08], [-46.581288, -23.584797, 743.88], [-46.581688, -23.584842, 743.72], [-46.581887, -23.584841, 744.71], [-46.582092, -23.584818, 744.99], [-46.582612, -23.584639, 747.32], [-46.583071, -23.58446, 747.79]]",2.428298,126.223527
72883.0,-23.584782147575336,-46.58178506640099,-23.583369657666303,-46.56252492938993,"[[-46.581786, -23.584841, 744.21], [-46.582092, -23.584818, 744.99], [-46.582612, -23.584639, 747.32], [-46.583917, -23.584133, 745.85], [-46.583974, -23.583979, 746.8], [-46.583961, -23.583897, 747.57], [-46.582052, -23.583818, 757.47], [-46.5812, -23.584604, 745.64], [-46.580889, -23.584918, 743.29], [-46.579777, -23.584749, 740.72], [-46.579743, -23.584692, 740.75], [-46.577197, -23.58428, 742.7], [-46.576938, -23.584226, 742.61], [-46.576544, -23.584102, 742.06], [-46.574775, -23.583283, 745.68], [-46.574265, -23.583069, 747.17], [-46.574009, -23.582991, 746.86], [-46.573521, -23.582881, 746.29], [-46.57321, -23.582835, 745.93], [-46.572509, -23.582794, 745.13], [-46.571253, -23.582826, 743.69], [-46.570509, -23.582889, 743.29], [-46.568666, -23.582912, 746.01], [-46.566907, -23.582809, 746.62], [-46.564141, -23.582527, 749.68], [-46.564134, -23.582609, 749.59], [-46.562884, -23.582486, 748.03], [-46.562846, -23.583046, 748.71], [-46.562796, -23.583272, 748.57], [-46.562728, -23.583439, 749.91]]",2.6231370000000003,148.55228
72884.0,-23.583369657666303,-46.56252492938993,-23.58455187069992,-46.58311483670995,"[[-46.562728, -23.583439, 749.91], [-46.562796, -23.583272, 748.57], [-46.562846, -23.583046, 748.71], [-46.562868, -23.582839, 747.57], [-46.563, -23.582908, 748.07], [-46.563758, -23.583789, 748.33], [-46.564004, -23.58419, 748.44], [-46.564471, -23.584723, 748.19], [-46.564896, -23.583837, 748.21], [-46.565, -23.583585, 748.03], [-46.565491, -23.583734, 747.15], [-46.565821, -23.582868, 746.45], [-46.565902, -23.582712, 747.25], [-46.566907, -23.582809, 746.62], [-46.568666, -23.582912, 746.01], [-46.570509, -23.582889, 743.29], [-46.571253, -23.582826, 743.69], [-46.572509, -23.582794, 745.13], [-46.57321, -23.582835, 745.93], [-46.573521, -23.582881, 746.29], [-46.574009, -23.582991, 746.86], [-46.574265, -23.583069, 747.17], [-46.574775, -23.583283, 745.68], [-46.576544, -23.584102, 742.06], [-46.576938, -23.584226, 742.61], [-46.577197, -23.58428, 742.7], [-46.579743, -23.584692, 740.75], [-46.579711, -23.584561, 741.08], [-46.581288, -23.584797, 743.88], [-46.581688, -23.584842, 743.72], [-46.581887, -23.584841, 744.71], [-46.582092, -23.584818, 744.99], [-46.582612, -23.584639, 747.32], [-46.583071, -23.58446, 747.79]]",2.464746,148.55228
91259.0,-23.59010053537737,-46.561311242885104,-23.58455187069992,-46.58311483670995,"[[-46.561422, -23.589968, 760.45], [-46.561228, -23.589832, 762.83], [-46.56293, -23.587777, 755.74], [-46.563329, -23.587267, 753.59], [-46.563397, -23.587141, 753.23], [-46.564471, -23.584723, 748.19], [-46.564896, -23.583837, 748.21], [-46.565, -23.583585, 748.03], [-46.565491, -23.583734, 747.15], [-46.565821, -23.582868, 746.45], [-46.565902, -23.582712, 747.25], [-46.566907, -23.582809, 746.62], [-46.568666, -23.582912, 746.01], [-46.570509, -23.582889, 743.29], [-46.571253, -23.582826, 743.69], [-46.572509, -23.582794, 745.13], [-46.57321, -23.582835, 745.93], [-46.573521, -23.582881, 746.29], [-46.574009, -23.582991, 746.86], [-46.574265, -23.583069, 747.17], [-46.574775, -23.583283, 745.68], [-46.576544, -23.584102, 742.06], [-46.576938, -23.584226, 742.61], [-46.577197, -23.58428, 742.7], [-46.579743, -23.584692, 740.75], [-46.579711, -23.584561, 741.08], [-46.581288, -23.584797, 743.88], [-46.581688, -23.584842, 743.72], [-46.581887, -23.584841, 744.71], [-46.582092, -23.584818, 744.99], [-46.582612, -23.584639, 747.32], [-46.583071, -23.58446, 747.79]]",2.816475,228.867765
91260.0,-23.58455187069992,-46.58311483670995,-23.59010053537737,-46.561311242885104,"[[-46.583071, -23.58446, 747.79], [-46.583917, -23.584133, 745.85], [-46.583974, -23.583979, 746.8], [-46.583961, -23.583897, 747.57], [-46.582052, -23.583818, 757.47], [-46.5812, -23.584604, 745.64], [-46.580889, -23.584918, 743.29], [-46.579777, -23.584749, 740.72], [-46.579743, -23.584692, 740.75], [-46.577197, -23.58428, 742.7], [-46.576938, -23.584226, 742.61], [-46.576544, -23.584102, 742.06], [-46.574775, -23.583283, 745.68], [-46.574265, -23.583069, 747.17], [-46.574009, -23.582991, 746.86], [-46.573521, -23.582881, 746.29], [-46.57321, -23.582835, 745.93], [-46.572509, -23.582794, 745.13], [-46.571253, -23.582826, 743.69], [-46.570509, -23.582889, 743.29], [-46.568666, -23.582912, 746.01], [-46.567491, -23.582839, 746.24], [-46.567506, -23.582945, 745.73], [-46.56595, -23.582794, 746.57], [-46.5659, -23.582885, 746.11], [-46.564212, -23.587273, 752.04], [-46.563814, -23.588263, 755.49], [-46.563718, -23.588468, 756.22], [-46.563548, -23.588712, 756.3], [-46.56208, -23.590427, 758.11], [-46.561422, -23.589968, 760.45]]",3.0970120000000003,228.867765
91298.0,-23.58140248987769,-46.56058125809364,-23.58455187069992,-46.58311483670995,"[[-46.560666, -23.581341, 751.7], [-46.561308, -23.581511, 750.42], [-46.561291, -23.58173, 749.54], [-46.561324, -23.581811, 749.56], [-46.561367, -23.581831, 749.07], [-46.561807, -23.581918, 747.88], [-46.562012, -23.581162, 753.3], [-46.56258, -23.581291, 754.63], [-46.562335, -23.582157, 747.61], [-46.562713, -23.582244, 748.02], [-46.562681, -23.582351, 747.75], [-46.562805, -23.582377, 748.03], [-46.564203, -23.582535, 749.67], [-46.566907, -23.582809, 746.62], [-46.568666, -23.582912, 746.01], [-46.570509, -23.582889, 743.29], [-46.571253, -23.582826, 743.69], [-46.572509, -23.582794, 745.13], [-46.57321, -23.582835, 745.93], [-46.573521, -23.582881, 746.29], [-46.574009, -23.582991, 746.86], [-46.574265, -23.583069, 747.17], [-46.574775, -23.583283, 745.68], [-46.576544, -23.584102, 742.06], [-46.576938, -23.584226, 742.61], [-46.577197, -23.58428, 742.7], [-46.579743, -23.584692, 740.75], [-46.579711, -23.584561, 741.08], [-46.581288, -23.584797, 743.88], [-46.581688, -23.584842, 743.72], [-46.581887, -23.584841, 744.71], [-46.582092, -23.584818, 744.99], [-46.582612, -23.584639, 747.32], [-46.583071, -23.58446, 747.79]]",2.599277,260.87027
91299.0,-23.58455187069992,-46.58311483670995,-23.58140248987769,-46.56058125809364,"[[-46.583071, -23.58446, 747.79], [-46.583917, -23.584133, 745.85], [-46.583974, -23.583979, 746.8], [-46.583961, -23.583897, 747.57], [-46.582052, -23.583818, 757.47], [-46.5812, -23.584604, 745.64], [-46.580889, -23.584918, 743.29], [-46.579777, -23.584749, 740.72], [-46.579743, -23.584692, 740.75], [-46.577197, -23.58428, 742.7], [-46.576938, -23.584226, 742.61], [-46.576544, -23.584102, 742.06], [-46.574775, -23.583283, 745.68], [-46.574265, -23.583069, 747.17], [-46.574009, -23.582991, 746.86], [-46.573521, -23.582881, 746.29], [-46.57321, -23.582835, 745.93], [-46.572509, -23.582794, 745.13], [-46.571253, -23.582826, 743.69], [-46.570509, -23.582889, 743.29], [-46.568666, -23.582912, 746.01], [-46.566907, -23.582809, 746.62], [-46.564203, -23.582535, 749.67], [-46.562978, -23.582391, 748.37], [-46.562942, -23.582285, 748.41], [-46.563175, -23.581423, 754.57], [-46.561332, -23.581005, 754.21], [-46.561308, -23.581511, 750.42], [-46.560666, -23.581341, 751.7]]",2.787992,260.87027
91342.0,-23.58830620233494,-46.55293198819393,-23.58455187069992,-46.58311483670995,"[[-46.553046, -23.588283, 780.05], [-46.552986, -23.587966, 779.61], [-46.552984, -23.586667, 772.54], [-46.552937, -23.586398, 769.99], [-46.552652, -23.585281, 768.34], [-46.552603, -23.585121, 767.02], [-46.552539, -23.585023, 762.44], [-46.552488, -23.585051, 762.56], [-46.552429, -23.585044, 762.43], [-46.552389, -23.585005, 761.8], [-46.552383, -23.584954, 761.1], [-46.552437, -23.584896, 760.43], [-46.552667, -23.584831, 759.9], [-46.552754, -23.584788, 759.37], [-46.552923, -23.584739, 759.78], [-46.553464, -23.584538, 759.98], [-46.553557, -23.584461, 760.08], [-46.553732, -23.584083, 756.87], [-46.553795, -23.584022, 756.56], [-46.554514, -23.58365, 754.65], [-46.55465, -23.583602, 754.42], [-46.555805, -23.583345, 754.5], [-46.55811, -23.582894, 752.97], [-46.558026, -23.582439, 752.03], [-46.557915, -23.581953, 752.49], [-46.558868, -23.581781, 750.93], [-46.559434, -23.581759, 750.37], [-46.559813, -23.581775, 750.03], [-46.560074, -23.581808, 749.74], [-46.562805, -23.582377, 748.03], [-46.564203, -23.582535, 749.67], [-46.566907, -23.582809, 746.62], [-46.568464, -23.582901, 746.14], [-46.568666, -23.582912, 746.01], [-46.570509, -23.582889, 743.29], [-46.571253, -23.582826, 743.69], [-46.572509, -23.582794, 745.13], [-46.57321, -23.582835, 745.93], [-46.573521, -23.582881, 746.29], [-46.574009, -23.582991, 746.86], [-46.574265, -23.583069, 747.17], [-46.574775, -23.583283, 745.68], [-46.576544, -23.584102, 742.06], [-46.576938, -23.584226, 742.61], [-46.577197, -23.58428, 742.7], [-46.579743, -23.584692, 740.75], [-46.579711, -23.584561, 741.08], [-46.581288, -23.584797, 743.88], [-46.581688, -23.584842, 743.72], [-46.581887, -23.584841, 744.71], [-46.582092, -23.584818, 744.99], [-46.582612, -23.584639, 747.32], [-46.583071, -23.58446, 747.79]]",3.792754,295.180827
91361.0,-23.584572819653012,-46.5596193455514,-23.58455187069992,-46.58311483670995,"[[-46.55962, -23.584569, 761.16], [-46.560878, -23.584644, 758.6], [-46.561338, -23.583754, 753.88], [-46.562552, -23.583874, 751.25], [-46.562796, -23.583272, 748.57], [-46.562846, -23.583046, 748.71], [-46.562868, -23.582839, 747.57], [-46.563, -23.582908, 748.07], [-46.563758, -23.583789, 748.33], [-46.564004, -23.58419, 748.44], [-46.564471, -23.584723, 748.19], [-46.564896, -23.583837, 748.21], [-46.565, -23.583585, 748.03], [-46.565491, -23.583734, 747.15], [-46.565821, -23.582868, 746.45], [-46.565902, -23.582712, 747.25], [-46.566907, -23.582809, 746.62], [-46.568666, -23.582912, 746.01], [-46.570509, -23.582889, 743.29], [-46.571253, -23.582826, 743.69], [-46.572509, -23.582794, 745.13], [-46.57321, -23.582835, 745.93], [-46.573521, -23.582881, 746.29], [-46.574009, -23.582991, 746.86], [-46.574265, -23.583069, 747.17], [-46.574775, -23.583283, 745.68], [-46.576544, -23.584102, 742.06], [-46.576938, -23.584226, 742.61], [-46.577197, -23.58428, 742.7], [-46.579743, -23.584692, 740.75], [-46.579711, -23.584561, 741.08], [-46.581288, -23.584797, 743.88], [-46.581688, -23.584842, 743.72], [-46.581887, -23.584841, 744.71], [-46.582092, -23.584818, 744.99], [-46.582612, -23.584639, 747.32], [-46.583071, -23.58446, 747.79]]",2.879057,88.175529
91362.0,-23.58289573011864,-46.56205881345811,-23.584572819653012,-46.5596193455514,"[[-46.562077, -23.582742, 747.98], [-46.56271, -23.582803, 747.73], [-46.562868, -23.582839, 747.57], [-46.562846, -23.583046, 748.71], [-46.562796, -23.583272, 748.57], [-46.562552, -23.583874, 751.25], [-46.561338, -23.583754, 753.88], [-46.560878, -23.584644, 758.6], [-46.55962, -23.584569, 761.16]]",0.564422,88.175529
91367.0,-23.5854127516692,-46.55960967718945,-23.58455187069992,-46.58311483670995,"[[-46.559586, -23.585539, 768.21], [-46.559801, -23.585596, 768.17], [-46.560045, -23.5857, 767.89], [-46.56025, -23.585837, 766.19], [-46.560463, -23.586012, 767.18], [-46.561182, -23.586545, 768.9], [-46.561515, -23.586095, 767.43], [-46.56163, -23.585906, 766.8], [-46.562152, -23.584763, 760.9], [-46.562694, -23.584952, 759.03], [-46.56412, -23.58551, 751.22], [-46.565, -23.583585, 748.03], [-46.565491, -23.583734, 747.15], [-46.565821, -23.582868, 746.45], [-46.565902, -23.582712, 747.25], [-46.566907, -23.582809, 746.62], [-46.568666, -23.582912, 746.01], [-46.570509, -23.582889, 743.29], [-46.571253, -23.582826, 743.69], [-46.572509, -23.582794, 745.13], [-46.57321, -23.582835, 745.93], [-46.573521, -23.582881, 746.29], [-46.574009, -23.582991, 746.86], [-46.574265, -23.583069, 747.17], [-46.574775, -23.583283, 745.68], [-46.576544, -23.584102, 742.06], [-46.576938, -23.584226, 742.61], [-46.577197, -23.58428, 742.7], [-46.579743, -23.584692, 740.75], [-46.579711, -23.584561, 741.08], [-46.581288, -23.584797, 743.88], [-46.581688, -23.584842, 743.72], [-46.581887, -23.584841, 744.71], [-46.582092, -23.584818, 744.99], [-46.582612, -23.584639, 747.32], [-46.583071, -23.58446, 747.79]]",2.862619,99.772678
91368.0,-23.58455187069992,-46.58311483670995,-23.5854127516692,-46.55960967718945,"[[-46.583071, -23.58446, 747.79], [-46.583917, -23.584133, 745.85], [-46.583974, -23.583979, 746.8], [-46.583961, -23.583897, 747.57], [-46.582052, -23.583818, 757.47], [-46.5812, -23.584604, 745.64], [-46.580889, -23.584918, 743.29], [-46.579777, -23.584749, 740.72], [-46.579743, -23.584692, 740.75], [-46.577197, -23.58428, 742.7], [-46.576938, -23.584226, 742.61], [-46.576544, -23.584102, 742.06], [-46.574775, -23.583283, 745.68], [-46.574265, -23.583069, 747.17], [-46.574009, -23.582991, 746.86], [-46.573521, -23.582881, 746.29], [-46.57321, -23.582835, 745.93], [-46.572509, -23.582794, 745.13], [-46.571253, -23.582826, 743.69], [-46.570509, -23.582889, 743.29], [-46.568666, -23.582912, 746.01], [-46.566907, -23.582809, 746.62], [-46.564141, -23.582527, 749.68], [-46.564134, -23.582609, 749.59], [-46.562884, -23.582486, 748.03], [-46.562846, -23.583046, 748.71], [-46.562796, -23.583272, 748.57], [-46.562552, -23.583874, 751.25], [-46.561338, -23.583754, 753.88], [-46.560564, -23.585284, 763.27], [-46.56025, -23.585837, 766.19], [-46.560045, -23.5857, 767.89], [-46.559801, -23.585596, 768.17], [-46.559586, -23.585539, 768.21]]",2.993726,99.772678
